Params,Epochs,EMin,EMax,EStdev,Rewards,RMin,RMax,RStdev
"[1, 0.1, 0.9]",97.7882,2,101,12.740667806755988,-72.93281800000005,-90.23000000000002,1.0,12.740667806755988
"[1, 0.1, 0.99]",97.3906,2,101,13.602218132981967,-72.57510200000017,-90.59,1.0,13.602218132981967
"[1, 0.1, 1]",97.7304,2,101,12.939602581876285,-72.82156400000007,-90.33000000000001,1.0,12.939602581876285
"[1, 0.2, 0.1]",97.974,2,101,12.438740189146914,-73.15672000000002,-88.97,1.0,12.438740189146914
"[1, 0.2, 0.5]",97.6926,2,101,12.91052125755689,-72.82109999999999,-89.49,1.0,12.91052125755689
"[1, 0.2, 0.9]",97.7386,2,101,12.855097527406933,-72.92281200000026,-88.71,1.0,12.855097527406933
"[1, 0.2, 0.99]",97.7512,3,101,12.7750057288392,-72.87032000000004,-89.48999999999997,0.99,12.7750057288392
"[1, 0.2, 1]",97.5534,2,101,13.251267668315641,-72.80520399999997,-92.11999999999999,1.0,13.251267668315641
"[1, 0.4, 0.1]",98.015,2,101,12.3263749800042,-73.1285659999999,-90.77,1.0,12.3263749800042
"[1, 0.4, 0.5]",97.5542,2,101,13.241795254549615,-72.72856999999992,-89.35999999999999,1.0,13.241795254549615
"[1, 0.4, 0.9]",97.4324,2,101,13.38017232150792,-72.57203200000014,-89.67,1.0,13.38017232150792
"[1, 0.4, 0.99]",97.4248,2,101,13.515751183456679,-72.65826999999989,-89.60999999999999,1.0,13.515751183456679
"[1, 0.4, 1]",97.7094,2,101,12.932479536272046,-72.82096400000006,-89.38000000000001,1.0,12.932479536272046
